"Date","Quarterly amounts outstanding of M4 (monetary financial institutions' sterling M4 liabilities to private sector) (in sterling millions) seasonally adjusted              [a] [b] [c] [d] [e] [f] [g] [h] [i]             LPQAUYN"
"31 Dec 68","22666"
"30 Sep 68","22210"
"30 Jun 68","21911"
"31 Mar 68","21345"
"31 Dec 67","20894"
"30 Sep 67","20286"
"30 Jun 67","19565"
"31 Mar 67","18994"
"31 Dec 66","18523"
"30 Sep 66","18380"
"30 Jun 66","18091"
"31 Mar 66","17935"
"31 Dec 65","17397"
"30 Sep 65","16894"
"30 Jun 65","16502"
"31 Mar 65","16138"
"31 Dec 64","15900"
"30 Sep 64","15665"
"30 Jun 64","15326"
"31 Mar 64","15001"
"31 Dec 63","14774"
"30 Sep 63","14351"
"30 Jun 63","14104"
"31 Mar 63","13770"
"30 Jun 18","2363864"
"31 Mar 18","2350215"
"31 Dec 17","2354727"
"30 Sep 17","2350318"
"30 Jun 17","2303717"
"31 Mar 17","2281307"
"31 Dec 16","2246452"
"30 Sep 16","2223594"
"30 Jun 16","2181132"
"31 Mar 16","2126776"
"31 Dec 15","2115569"
"30 Sep 15","2093896"
"30 Jun 15","2104274"
"31 Mar 15","2099559"
"31 Dec 14","2104817"
"30 Sep 14","2105740"
"30 Jun 14","2104419"
"31 Mar 14","2103621"
"31 Dec 13","2107848"
"30 Sep 13","2140148"
"30 Jun 13","2089477"
"31 Mar 13","2085261"
"31 Dec 12","2093936"
"30 Sep 12","2078625"
"30 Jun 12","2060466"
"31 Mar 12","2061224"
"31 Dec 11","2089224"
"30 Sep 11","2133716"
"30 Jun 11","2149222"
"31 Mar 11","2156307"
"31 Dec 10","2156791"
"30 Sep 10","2185256"
"30 Jun 10","2193568"
"31 Mar 10","2213836"
"31 Dec 09","2044277"
"30 Sep 09","2012452"
"30 Jun 09","1970118"
"31 Mar 09","2004674"
"31 Dec 08","1934230"
"30 Sep 08","1825292"
"30 Jun 08","1759868"
"31 Mar 08","1714621"
"31 Dec 07","1671149"
"30 Sep 07","1647994"
"30 Jun 07","1591722"
"31 Mar 07","1536930"
"31 Dec 06","1492600"
"30 Sep 06","1460403"
"30 Jun 06","1411598"
"31 Mar 06","1360828"
"31 Dec 05","1322363"
"30 Sep 05","1277191"
"30 Jun 05","1243484"
"31 Mar 05","1213417"
"31 Dec 04","1173695"
"30 Sep 04","1149365"
