DATE,UKNGDP
1955-01-01,4727
1955-04-01,4751
1955-07-01,4922
1955-10-01,5016
1956-01-01,5141
1956-04-01,5214
1956-07-01,5300
1956-10-01,5432
1957-01-01,5440
1957-04-01,5522
1957-07-01,5638
1957-10-01,5765
1958-01-01,5863
1958-04-01,5789
1958-07-01,5898
1958-10-01,5950
1959-01-01,5956
1959-04-01,6153
1959-07-01,6165
1959-10-01,6380
1960-01-01,6486
1960-04-01,6550
1960-07-01,6647
1960-10-01,6793
1961-01-01,6952
1961-04-01,6927
1961-07-01,7166
1961-10-01,7097
1962-01-01,7184
1962-04-01,7358
1962-07-01,7437
1962-10-01,7481
1963-01-01,7423
1963-04-01,7803
1963-07-01,7923
1963-10-01,8175
1964-01-01,8194
1964-04-01,8474
1964-07-01,8661
1964-10-01,8908
1965-01-01,9071
1965-04-01,9116
1965-07-01,9335
1965-10-01,9514
1966-01-01,9652
1966-04-01,9815
1966-07-01,9999
1966-10-01,10107
1967-01-01,10214
1967-04-01,10466
1967-07-01,10534
1967-10-01,10687
1968-01-01,11161
1968-04-01,11282
1968-07-01,11635
1968-10-01,11930
1969-01-01,12132
1969-04-01,12305
1969-07-01,12565
1969-10-01,12907
1970-01-01,13250
1970-04-01,13832
1970-07-01,14288
1970-10-01,14807
1971-01-01,15019
1971-04-01,15516
1971-07-01,16005
1971-10-01,16408
1972-01-01,16622
1972-04-01,17403
1972-07-01,17777
1972-10-01,18861
1973-01-01,20077
1973-04-01,19893
1973-07-01,20587
1973-10-01,21338
1974-01-01,21167
1974-04-01,22659
1974-07-01,23907
1974-10-01,25010
1975-01-01,26839
1975-04-01,28141
1975-07-01,29279
1975-10-01,30917
1976-01-01,32456
1976-04-01,33307
1976-07-01,34522
1976-10-01,36664
1977-01-01,38010
1977-04-01,39228
1977-07-01,40324
1977-10-01,42139
1978-01-01,44106
1978-04-01,45848
1978-07-01,47147
1978-10-01,48867
1979-01-01,50437
1979-04-01,53928
1979-07-01,56724
1979-10-01,59756
1980-01-01,62111
1980-04-01,63698
1980-07-01,66009
1980-10-01,68144
1981-01-01,69926
1981-04-01,71254
1981-07-01,73204
1981-10-01,75515
1982-01-01,77425
1982-04-01,78887
1982-07-01,80339
1982-10-01,82559
1983-01-01,85602
1983-04-01,86341
1983-07-01,88455
1983-10-01,90711
1984-01-01,91534
1984-04-01,93384
1984-07-01,94693
1984-10-01,97966
1985-01-01,98864
1985-04-01,103354
1985-07-01,104937
1985-10-01,107174
1986-01-01,108610
1986-04-01,110274
1986-07-01,112067
1986-10-01,115462
1987-01-01,118018
1987-04-01,121692
1987-07-01,126568
1987-10-01,129256
1988-01-01,133077
1988-04-01,135906
1988-07-01,140584
1988-10-01,145329
1989-01-01,148383
1989-04-01,151034
1989-07-01,155249
1989-10-01,158715
1990-01-01,161828
1990-04-01,166291
1990-07-01,169415
1990-10-01,169901
1991-01-01,172952
1991-04-01,175015
1991-07-01,176604
1991-10-01,179157
1992-01-01,180716
1992-04-01,181104
1992-07-01,181578
1992-10-01,184567
1993-01-01,188951
1993-04-01,189422
1993-07-01,192843
1993-10-01,195192
1994-01-01,198121
1994-04-01,199863
1994-07-01,202107
1994-10-01,206329
1995-01-01,207126
1995-04-01,209691
1995-07-01,213540
1995-10-01,216179
1996-01-01,220343
1996-04-01,224990
1996-07-01,227942
1996-10-01,230157
1997-01-01,232522
1997-04-01,235047
1997-07-01,241681
1997-10-01,239703
1998-01-01,243101
1998-04-01,245460
1998-07-01,247837
1998-10-01,254840
1999-01-01,256367
1999-04-01,254699
1999-07-01,257982
1999-10-01,262110
2000-01-01,268202
2000-04-01,271872
2000-07-01,274115
2000-10-01,275152
2001-01-01,277539
2001-04-01,282538
2001-07-01,283440
2001-10-01,285926
2002-01-01,289508
2002-04-01,293118
2002-07-01,297553
2002-10-01,302777
2003-01-01,307147
2003-04-01,309831
2003-07-01,314554
2003-10-01,320315
2004-01-01,322812
2004-04-01,328188
2004-07-01,329468
2004-10-01,332386
2005-01-01,336947
2005-04-01,345621
2005-07-01,348944
2005-10-01,357241
2006-01-01,360867
2006-04-01,364503
2006-07-01,368529
2006-10-01,372003
2007-01-01,377827
2007-04-01,381615
2007-07-01,388524
2007-10-01,393476
2008-01-01,399035
2008-04-01,397075
2008-07-01,394626
2008-10-01,389060
2009-01-01,382864
2009-04-01,382457
2009-07-01,385469
2009-10-01,386423
2010-01-01,391142
2010-04-01,397248
2010-07-01,397897
2010-10-01,401179
2011-01-01,411146
2011-04-01,408787
2011-07-01,410262
2011-10-01,414351
2012-01-01,417502
2012-04-01,418098
2012-07-01,428748
2012-10-01,430069
2013-01-01,432989
2013-04-01,436307
2013-07-01,444346
2013-10-01,447705
2014-01-01,453883
2014-04-01,460696
2014-07-01,464730
2014-10-01,464986
2015-01-01,467295
2015-04-01,475229
2015-07-01,475541
2015-10-01,477774
2016-01-01,485326
2016-04-01,489494
2016-07-01,493730
2016-10-01,500974
2017-01-01,505882
2017-04-01,508235
2017-07-01,512380
2017-10-01,517974
2018-01-01,520742
