"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","28-09-2018"
"Next release","21 December 2018"
"Important notes",
"1948","350107"
"1949","361943"
"1950","373923"
"1951","387897"
"1952","394071"
"1953","415828"
"1954","433699"
"1955","450283"
"1956","457560"
"1957","466326"
"1958","472262"
"1959","491664"
"1960","522502"
"1961","536490"
"1962","542407"
"1963","568846"
"1964","600324"
"1965","613184"
"1966","622830"
"1967","640185"
"1968","675018"
"1969","688006"
"1970","706651"
"1971","731273"
"1972","762732"
"1973","812375"
"1974","792363"
"1975","780634"
"1976","803345"
"1977","822970"
"1978","857553"
"1979","889640"
"1980","871598"
"1981","864877"
"1982","882264"
"1983","919512"
"1984","940443"
"1985","979900"
"1986","1010674"
"1987","1064247"
"1988","1125529"
"1989","1154441"
"1990","1162976"
"1991","1150324"
"1992","1154592"
"1993","1183761"
"1994","1229868"
"1995","1260065"
"1996","1292011"
"1997","1347478"
"1998","1392501"
"1999","1437253"
"2000","1486888"
"2001","1529127"
"2002","1567351"
"2003","1619692"
"2004","1657719"
"2005","1709916"
"2006","1753486"
"2007","1798121"
"2008","1791901"
"2009","1715807"
"2010","1745168"
"2011","1773872"
"2012","1799541"
"2013","1836365"
"2014","1890493"
"2015","1934903"
"2016","1969524"
"2017","2003817"
"1955 Q1","111480"
"1955 Q2","111586"
"1955 Q3","113890"
"1955 Q4","113327"
"1956 Q1","114540"
"1956 Q2","114244"
"1956 Q3","114135"
"1956 Q4","114641"
"1957 Q1","116910"
"1957 Q2","116887"
"1957 Q3","116167"
"1957 Q4","116362"
"1958 Q1","118781"
"1958 Q2","116082"
"1958 Q3","118639"
"1958 Q4","118760"
"1959 Q1","119382"
"1959 Q2","121349"
"1959 Q3","123891"
"1959 Q4","127042"
"1960 Q1","130145"
"1960 Q2","129212"
"1960 Q3","131172"
"1960 Q4","131973"
"1961 Q1","134123"
"1961 Q2","134663"
"1961 Q3","133959"
"1961 Q4","133745"
"1962 Q1","134376"
"1962 Q2","135625"
"1962 Q3","136449"
"1962 Q4","135957"
"1963 Q1","136658"
"1963 Q2","142519"
"1963 Q3","143244"
"1963 Q4","146425"
"1964 Q1","147306"
"1964 Q2","149849"
"1964 Q3","150440"
"1964 Q4","152729"
"1965 Q1","152303"
"1965 Q2","152465"
"1965 Q3","153732"
"1965 Q4","154684"
"1966 Q1","154939"
"1966 Q2","155839"
"1966 Q3","156353"
"1966 Q4","155699"
"1967 Q1","157819"
"1967 Q2","160034"
"1967 Q3","160738"
"1967 Q4","161594"
"1968 Q1","167469"
"1968 Q2","166744"
"1968 Q3","170062"
"1968 Q4","170743"
"1969 Q1","170363"
"1969 Q2","171608"
"1969 Q3","172576"
"1969 Q4","173459"
"1970 Q1","172351"
"1970 Q2","176415"
"1970 Q3","178164"
"1970 Q4","179721"
"1971 Q1","178660"
"1971 Q2","181851"
"1971 Q3","185015"
"1971 Q4","185747"
"1972 Q1","185942"
"1972 Q2","190919"
"1972 Q3","191438"
"1972 Q4","194433"
"1973 Q1","204068"
"1973 Q2","204359"
"1973 Q3","202404"
"1973 Q4","201544"
"1974 Q1","196051"
"1974 Q2","198880"
"1974 Q3","200169"
"1974 Q4","197263"
"1975 Q1","197360"
"1975 Q2","194133"
"1975 Q3","193478"
"1975 Q4","195663"
"1976 Q1","198806"
"1976 Q2","198454"
"1976 Q3","200923"
"1976 Q4","205162"
"1977 Q1","205264"
"1977 Q2","203775"
"1977 Q3","205187"
"1977 Q4","208744"
"1978 Q1","210545"
"1978 Q2","213091"
"1978 Q3","215974"
"1978 Q4","217943"
"1979 Q1","217088"
"1979 Q2","226712"
"1979 Q3","221756"
"1979 Q4","224084"
"1980 Q1","221906"
"1980 Q2","217513"
"1980 Q3","217243"
"1980 Q4","214936"
"1981 Q1","214596"
"1981 Q2","215117"
"1981 Q3","217457"
"1981 Q4","217707"
"1982 Q1","218047"
"1982 Q2","220498"
"1982 Q3","221080"
"1982 Q4","222639"
"1983 Q1","226670"
"1983 Q2","228603"
"1983 Q3","231120"
"1983 Q4","233119"
"1984 Q1","234726"
"1984 Q2","232679"
"1984 Q3","234193"
"1984 Q4","238845"
"1985 Q1","240860"
"1985 Q2","245992"
"1985 Q3","246225"
"1985 Q4","246823"
"1986 Q1","249635"
"1986 Q2","251462"
"1986 Q3","252560"
"1986 Q4","257017"
"1987 Q1","259310"
"1987 Q2","263056"
"1987 Q3","269416"
"1987 Q4","272465"
"1988 Q1","277393"
"1988 Q2","279053"
"1988 Q3","283321"
"1988 Q4","285762"
"1989 Q1","287006"
"1989 Q2","288878"
"1989 Q3","289148"
"1989 Q4","289409"
"1990 Q1","291381"
"1990 Q2","292882"
"1990 Q3","289842"
"1990 Q4","288871"
"1991 Q1","288059"
"1991 Q2","287708"
"1991 Q3","287050"
"1991 Q4","287507"
"1992 Q1","287484"
"1992 Q2","287134"
"1992 Q3","288973"
"1992 Q4","291001"
"1993 Q1","293132"
"1993 Q2","294622"
"1993 Q3","296993"
"1993 Q4","299014"
"1994 Q1","302653"
"1994 Q2","306166"
"1994 Q3","309643"
"1994 Q4","311406"
"1995 Q1","312408"
"1995 Q2","313535"
"1995 Q3","316615"
"1995 Q4","317507"
"1996 Q1","320370"
"1996 Q2","321390"
"1996 Q3","323585"
"1996 Q4","326666"
"1997 Q1","332963"
"1997 Q2","335906"
"1997 Q3","337554"
"1997 Q4","341055"
"1998 Q1","343646"
"1998 Q2","346762"
"1998 Q3","349347"
"1998 Q4","352746"
"1999 Q1","354739"
"1999 Q2","354959"
"1999 Q3","361294"
"1999 Q4","366261"
"2000 Q1","369352"
"2000 Q2","371610"
"2000 Q3","372653"
"2000 Q4","373273"
"2001 Q1","378202"
"2001 Q2","381178"
"2001 Q3","384018"
"2001 Q4","385729"
"2002 Q1","387561"
"2002 Q2","390117"
"2002 Q3","393074"
"2002 Q4","396599"
"2003 Q1","399206"
"2003 Q2","402985"
"2003 Q3","407106"
"2003 Q4","410395"
"2004 Q1","412641"
"2004 Q2","414222"
"2004 Q3","414905"
"2004 Q4","415951"
"2005 Q1","419894"
"2005 Q2","424551"
"2005 Q3","429518"
"2005 Q4","435953"
"2006 Q1","437114"
"2006 Q2","438088"
"2006 Q3","438369"
"2006 Q4","439915"
"2007 Q1","444292"
"2007 Q2","447498"
"2007 Q3","451288"
"2007 Q4","455043"
"2008 Q1","456663"
"2008 Q2","453283"
"2008 Q3","445818"
"2008 Q4","436137"
"2009 Q1","428886"
"2009 Q2","428073"
"2009 Q3","428682"
"2009 Q4","430166"
"2010 Q1","432106"
"2010 Q2","435817"
"2010 Q3","438337"
"2010 Q4","438908"
"2011 Q1","442198"
"2011 Q2","442851"
"2011 Q3","444043"
"2011 Q4","444780"
"2012 Q1","447661"
"2012 Q2","447420"
"2012 Q3","452748"
"2012 Q4","451712"
"2013 Q1","454633"
"2013 Q2","457126"
"2013 Q3","461224"
"2013 Q4","463382"
"2014 Q1","467266"
"2014 Q2","471155"
"2014 Q3","474457"
"2014 Q4","477615"
"2015 Q1","479734"
"2015 Q2","482464"
"2015 Q3","484552"
"2015 Q4","488153"
"2016 Q1","489736"
"2016 Q2","490502"
"2016 Q3","492816"
"2016 Q4","496470"
"2017 Q1","498645"
"2017 Q2","499942"
"2017 Q3","501695"
"2017 Q4","503535"
"2018 Q1","504001"
"2018 Q2","506031"
